id,field_abstract,field_alt_title,field_classification,field_copyright_date,field_dewey_classification,field_edition,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_geographic_subject,field_identifier,field_isbn,field_language,field_lcc_classification,field_linked_agent,field_local_identifier,field_mode_of_issuance,field_note,field_oclc_number,field_physical_form,field_pid,field_place_published,field_place_published_country,field_resource_type,field_rights,field_subject,field_subjects_name,field_table_of_contents,title,file,parent_id,field_weight,field_member_of,field_model
lsu-ag-agexp:8440,,,,,,,,,,lsu-ag-agexp:8413-143,,,,,,,,,,,,lsu-ag-agexp:8440,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-143,,,,,Language
lsu-ag-agexp:8441,,,,,,,,,,lsu-ag-agexp:8413-27,,,,,,,,,,,,lsu-ag-agexp:8441,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-27,,,,,Language
lsu-ag-agexp:8442,,,,,,,,,,lsu-ag-agexp:8413-40,,,,,,,,,,,,lsu-ag-agexp:8442,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-40,,,,,Language
lsu-ag-agexp:8443,,,,,,,,,,lsu-ag-agexp:8413-113,,,,,,,,,,,,lsu-ag-agexp:8443,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-113,,,,,Language
lsu-ag-agexp:8444,,,,,,,,,,lsu-ag-agexp:8413-9,,,,,,,,,,,,lsu-ag-agexp:8444,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-9,,,,,Language
lsu-ag-agexp:8445,,,,,,,,,,lsu-ag-agexp:8413-131,,,,,,,,,,,,lsu-ag-agexp:8445,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-131,,,,,Language
lsu-ag-agexp:8446,,,,,,,,,,lsu-ag-agexp:8413-89,,,,,,,,,,,,lsu-ag-agexp:8446,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-89,,,,,Language
lsu-ag-agexp:8447,,,,,,,,,,lsu-ag-agexp:8413-115,,,,,,,,,,,,lsu-ag-agexp:8447,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-115,,,,,Language
lsu-ag-agexp:8448,,,,,,,,,,lsu-ag-agexp:8413-87,,,,,,,,,,,,lsu-ag-agexp:8448,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-87,,,,,Language
lsu-ag-agexp:8449,,,,,,,,,,lsu-ag-agexp:8413-36,,,,,,,,,,,,lsu-ag-agexp:8449,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-36,,,,,Language
lsu-ag-agexp:844,,,,,,,,,,lsu-ag-agexp:831-3,,,,,,,,,,,,lsu-ag-agexp:844,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:831-3,,,,,Language
lsu-ag-agexp:8450,,,,,,,,,,lsu-ag-agexp:8413-53,,,,,,,,,,,,lsu-ag-agexp:8450,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-53,,,,,Language
lsu-ag-agexp:8451,,,,,,,,,,lsu-ag-agexp:8413-127,,,,,,,,,,,,lsu-ag-agexp:8451,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-127,,,,,Language
lsu-ag-agexp:8452,,,,,,,,,,lsu-ag-agexp:8413-16,,,,,,,,,,,,lsu-ag-agexp:8452,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-16,,,,,Language
lsu-ag-agexp:8453,,,,,,,,,,lsu-ag-agexp:8413-111,,,,,,,,,,,,lsu-ag-agexp:8453,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-111,,,,,Language
lsu-ag-agexp:8454,,,,,,,,,,lsu-ag-agexp:8413-41,,,,,,,,,,,,lsu-ag-agexp:8454,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-41,,,,,Language
lsu-ag-agexp:8455,,,,,,,,,,lsu-ag-agexp:8413-69,,,,,,,,,,,,lsu-ag-agexp:8455,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:8413-69,,,,,Language
